task,run,status,solved,cputime,walltime,memory_mb,planner_time,policy_size,domain,instance,solver
acrobatics_01.yml,S1.FOND,1,True,0.233342,0.2356218183413148,10.080256,0.01,4,acrobatics,01,S1
acrobatics_02.yml,S1.FOND,1,True,10.369209,10.37462040130049,10.19904,10.14,8,acrobatics,02,S1
acrobatics_03.yml,S1.FOND,1,True,11.289586,11.302471884526312,10.235904,11.05,16,acrobatics,03,S1
acrobatics_04.yml,S1.FOND,1,True,12.004272,12.007289458066223,10.4448,11.76,32,acrobatics,04,S1
acrobatics_05.yml,S1.FOND,1,True,17.225556,17.242666888982058,11.210752,16.95,64,acrobatics,05,S1
acrobatics_06.yml,S1.FOND,1,True,17.267296,17.273815663531423,12.283904,16.94,128,acrobatics,06,S1
acrobatics_07.yml,S1.FOND,1,True,17.428494,17.433369159698486,15.081472,17.01,256,acrobatics,07,S1
acrobatics_08.yml,S1.FOND,1,True,18.275366,18.27883376087993,20.078592,17.63,512,acrobatics,08,S1
beam-walk_01.yml,S1.FOND,1,True,0.271211,0.2730251550674438,9.965568,0.06,8,beam-walk,01,S1
beam-walk_02.yml,S1.FOND,1,True,1.029265,1.0312178805470469,9.928704,0.81,16,beam-walk,02,S1
beam-walk_03.yml,S1.FOND,1,True,1.803526,1.8054397162050009,9.998336,1.58,32,beam-walk,03,S1
beam-walk_04.yml,S1.FOND,1,True,8.142569,8.148889081552625,10.104832,7.92,64,beam-walk,04,S1
beam-walk_05.yml,S1.FOND,1,True,8.160261,8.162980319932103,10.436608,7.92,128,beam-walk,05,S1
beam-walk_06.yml,S1.FOND,1,True,8.360559,8.363428887911141,11.280384,8.08,256,beam-walk,06,S1
beam-walk_07.yml,S1.FOND,1,True,8.664721,8.667835699394345,12.65664,8.34,512,beam-walk,07,S1
beam-walk_08.yml,S1.FOND,1,True,10.341531,10.369376306422057,15.847424,9.9,1024,beam-walk,08,S1
beam-walk_09.yml,S1.FOND,1,True,16.261875,16.42062043491751,22.34368,15.56,2048,beam-walk,09,S1
beam-walk_10.yml,S1.FOND,1,True,39.069315,39.085891290567815,36.442112,37.85,4096,beam-walk,10,S1
beam-walk_11.yml,S1.FOND,1,True,130.870677,131.2488723602146,59.854848,128.4,8192,beam-walk,11,S1
blocksworld-ipc08_01.yml,S1.FOND,1,True,0.305248,0.3070411002263427,11.472896,0.03,9,blocksworld-ipc08,01,S1
blocksworld-ipc08_02.yml,S1.FOND,1,True,0.304772,0.3066310593858361,11.599872,0.02,8,blocksworld-ipc08,02,S1
